,0
0,7.261158689860131
1,7.210486116213691
2,6.825443851811563
3,6.793782307566289
4,6.46221561038903
5,6.0030284661195425
6,5.910908623237328
7,5.753563654812367
8,6.146138554098297
9,8.76295106851899
10,8.628817959682346
11,8.417201546488577
12,8.020659397832596
13,7.92772968525081
14,7.1688108821905665
15,7.077066271811722
16,6.858277011146048
17,7.326114230525745
18,3.42737736884951
19,3.6756067747596917
20,3.919955375819272
21,3.766892297483427
22,3.5456019814200856
23,3.171061824093445
24,3.6560379049814316
25,2.781744194546651
26,3.4921129351756766
27,4.534142252769971
28,4.532702836839285
29,4.546832246227062
30,4.590151721884404
31,4.47279848933303
32,4.600144565485874
33,4.415579637717066
34,4.332391124617344
35,4.6249167646895195
36,10.069554869353794
37,8.890096062704057
38,9.087789141327477
39,9.049163518016963
40,7.818531803216611
41,7.324097595557393
42,6.962366955631117
43,7.173738576643279
44,7.522299713631941
45,6.6991619896978545
46,5.154786578578528
47,5.159379627464735
48,4.683996409492433
49,4.556733741549889
50,4.196506619949529
51,4.429150047044493
52,4.357717955707438
53,5.162428743673699
54,6.733410798780466
55,6.527966990947409
56,6.306863016365891
57,5.941483983107416
58,5.78012849550521
59,5.737062157959818
60,5.695137351617169
61,5.773394447867421
62,6.028254875302091
63,9.168309908947355
64,7.523342687542487
65,7.3069759216126
66,7.3660818936215104
67,6.593062689127217
68,5.905263150753608
69,6.335653876062709
70,5.943693332781953
71,6.28564243550401
72,3.988457695892659
73,3.9559405207606235
74,3.901098352969344
75,4.029295152049787
76,3.9631412688121608
77,3.8512855800214822
78,3.881660638125574
79,3.5689202476525947
80,3.947569634079738
81,11.141274632313518
82,9.891908358923843
83,10.04084948881717
84,10.074905496377195
85,8.913190237841716
86,8.51312072012183
87,8.475270066390914
88,7.934499474233056
89,8.39026902909751
90,6.67517534603687
91,7.2521473492593636
92,7.036745793176113
93,6.474122802135625
94,6.119057446923063
95,5.555565113566373
96,5.6141956823847305
97,5.4400074507451945
98,5.878590934257851
99,8.157204892631704
100,8.272766871736142
101,8.253382117672079
102,8.365305012181565
103,7.934515764212617
104,7.76708896558124
105,7.963180303432679
106,7.958458754763235
107,8.352447928482007
108,6.967384206464561
109,6.868021702361007
110,6.577323567924866
111,6.28074918851254
112,6.14839161033226
113,6.162345978351432
114,5.8351309563805955
115,5.5676506121712235
116,5.74541359351716
117,5.039980995580576
118,5.952683680978281
119,7.222243692187383
120,6.66889095605408
121,6.954563602295797
122,6.092918202933227
123,5.449388782722116
124,5.506034749229033
125,6.197533361494023
126,9.526213096373379
127,10.175401531890254
128,9.783858661180949
129,8.948763642489205
130,8.165793161109521
131,7.8464267185830785
132,8.184067278871863
133,8.134182237840221
134,8.174335124232277
135,6.523061189394552
136,6.450994552473675
137,5.8758429650224615
138,4.163727550699512
139,3.8594357697646937
140,3.4197644302586747
141,3.1347883684141724
142,2.6739492566117735
143,2.3105040173116143
144,12.856383766409115
145,11.942734218529782
146,10.099758027403768
147,9.743404683671725
148,8.891098797077248
149,9.8605236863357
150,7.973076871197918
151,7.345552618998223
152,7.575494482943693
153,9.89399693552908
154,9.592675572482873
155,9.444726010528658
156,8.594229032443192
